band,beta,beta_sig,alpha,alpha_sig,sig_intrinsic,sig_intrinsic_sig,sig_instrumental,sig_instrumental_sig
U,0.9304,0.0584,-0.3823,0.7130,0.2358,0.0438,0.0232,0.0175
B,0.7099,0.0237,0.0129,0.3104,0.0553,0.0126,0.0145,0.0118
hipp,0.5726,0.0174,-0.4625,0.2246,0.0474,0.0079,0.0098,0.0085
V,0.4319,0.0184,-0.4091,0.2370,0.0320,0.0079,0.0106,0.0085
R,0.2638,0.0164,-0.7461,0.2108,0.0274,0.0072,0.0091,0.0067
I,0.1065,0.0380,-1.0456,0.4285,0.0713,0.0264,0.0188,0.0170
z,0.5406,0.0539,-0.8770,0.6547,0.1153,0.0432,0.0175,0.0184
J,-0.1490,0.0153,-1.7138,0.1834,0.0385,0.0081,0.0058,0.0017
H,-0.3509,0.0148,-2.1936,0.1752,0.0312,0.0068,0.0060,0.0015
K,-0.3472,0.0160,-2.4599,0.1849,0.0498,0.0089,0.0071,0.0019
W1,-0.4703,0.0112,-2.1968,0.1252,0.0032,0.0020,0.0050,0.0013
W2,-0.4583,0.0112,-2.2337,0.1249,0.0055,0.0018,0.0053,0.0016
W3,-0.4924,0.0119,-2.3026,0.1342,0.0227,0.0036,0.0350,0.0291
