#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-08-01T15:39:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b61d41f8b1f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/743/76&tab:{J/ApJ/743/76/table1}&key:source=J/ApJ/743/76/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/76/table1
#-order=I
#-out=Name
#-out=Period
#-out=[3.6]
#-out=e_[3.6]
#-out=[4.5]
#-out=e_[4.5]
#-out=Color
#-out=e_Color
#LC=LC
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17430076
#Name: J/ApJ/743/76
#Title: Spitzer photometry of LMC Cepheids (Scowcroft+, 2011)
#Table	J_ApJ_743_76_table1:
#Name: J/ApJ/743/76/table1
#Title: Magnitudes for LMC Cepheids
#Column	Name	(A7)	Cepheid name (HVNNNNN or P71_U01)	[ucd=meta.id;meta.main]
#Column	Period	(F7.3)	Final adopted period	[ucd=time.period]
#Column	[3.6]	(F6.3)	Spitzer/IRAC 3.6 micron band magnitude (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	The 1{sigma} error in [3.6] (2)	[ucd=stat.error]
#Column	[4.5]	(F6.3)	Spitzer/IRAC 4.5 micron band magnitude (1)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	The 1{sigma} error in [4.5] (2)	[ucd=stat.error]
#Column	Color	(F6.3)	The (3.6-4.5) band color index (1)	[ucd=phot.color;em.IR;em.IR]
#Column	e_Color	(F6.3)	The 1{sigma} error in Color (2)	[ucd=stat.error;phot.color]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
Name	Period	[3.6]	e_[3.6]	[4.5]	e_[4.5]	Color	e_Color	SimbadName	_RA	_DE
 	d	mag	mag	mag	mag	mag	mag	 	deg	deg
-------	-------	------	------	------	------	------	------	-------------	---------	---------
HV00872	 29.820	11.320	 0.005	11.381	 0.005	-0.061	 0.002	HV00872      	073.77621	-67.47583
HV00873	 34.426	10.872	 0.006	10.903	 0.006	-0.029	 0.002	HV00873      	073.59904	-70.90161
HV00875	 30.338	11.094	 0.003	11.077	 0.003	 0.016	 0.001	HV00875      	074.11458	-69.37961
HV00876	 22.716	11.558	 0.006	11.592	 0.007	-0.033	 0.002	HV00876      	074.30142	-67.38258
HV00877	 45.155	10.701	 0.004	10.790	 0.004	-0.089	 0.002	HV00877      	074.25750	-67.99522
HV00878	 23.306	11.531	 0.007	11.559	 0.007	-0.027	 0.002	HV00878      	074.46266	-69.95821
HV00879	 36.840	10.923	 0.007	10.976	 0.007	-0.052	 0.002	HV00879      	074.52321	-69.45433
HV00881	 35.740	10.945	 0.007	10.996	 0.007	-0.051	 0.002	HV00881      	074.63658	-70.34603
HV00882	 31.786	11.070	 0.006	11.086	 0.006	-0.016	 0.002	HV00882      	074.92142	-69.45611
HV00883	133.400	 9.523	 0.011	 9.479	 0.010	 0.044	 0.001	HV00883      	075.03128	-68.45004
HV00885	 20.703	11.368	 0.003	11.395	 0.003	-0.026	 0.001	HV00885      	075.47737	-68.90403
HV00886	 23.983	11.346	 0.006	11.373	 0.006	-0.027	 0.002	HV00886      	075.78625	-66.23028
HV00887	 14.486	12.113	 0.004	12.123	 0.004	-0.010	 0.001	HV00887      	075.54267	-69.53994
HV00889	 25.797	11.374	 0.006	11.432	 0.005	-0.057	 0.003	HV00889      	075.95627	-68.93405
HV00891	 17.272	11.861	 0.005	11.873	 0.005	-0.012	 0.002	HV00891      	076.06446	-69.02678
HV00892	 15.990	12.185	 0.006	12.191	 0.006	-0.004	 0.001	HV00892      	076.08784	-68.72856
HV00893	 21.115	11.638	 0.006	11.673	 0.006	-0.035	 0.002	HV00893      	076.50371	-69.10475
HV00899	 31.047	11.132	 0.007	11.185	 0.007	-0.051	 0.002	HV00899      	076.78254	-68.88875
HV00900	 47.515	10.510	 0.006	10.547	 0.006	-0.037	 0.002	HV00900      	076.69987	-70.03706
HV00901	 18.470	11.989	 0.006	12.020	 0.005	-0.033	 0.002	HV00901      	076.92554	-69.24669
HV00902	 26.340	11.269	 0.006	11.281	 0.006	-0.012	 0.002	HV00902      	076.83375	-70.45425
HV00904	 30.405	11.174	 0.007	11.216	 0.007	-0.042	 0.002	HV00904      	077.07611	-68.77974
HV00909	 37.566	10.795	 0.005	10.808	 0.005	-0.012	 0.001	HV00909      	077.33397	-70.45750
HV00911	 13.915	12.290	 0.005	12.297	 0.005	-0.007	 0.002	HV00911      	077.65050	-69.13828
HV00914	  6.879	13.122	 0.011	13.088	 0.009	 0.032	 0.005	HV00914      	078.19592	-69.10247
HV00932	 13.281	12.300	 0.004	12.304	 0.005	-0.005	 0.002	HV00932      	079.81167	-69.60503
HV00953	 48.048	10.220	 0.005	10.249	 0.005	-0.025	 0.002	HV00953      	081.28451	-67.64424
HV00955	 13.700	12.173	 0.004	12.177	 0.004	-0.004	 0.001	HV00955      	081.45214	-67.35196
HV00971	  9.297	12.681	 0.015	12.680	 0.018	-0.001	 0.005	HV00971      	082.06508	-67.06619
HV00997	 13.145	12.356	 0.005	12.367	 0.005	-0.012	 0.002	HV00997      	083.25408	-68.19100
HV01002	 30.472	10.990	 0.006	11.017	 0.007	-0.026	 0.002	HV01002      	083.96042	-66.70111
HV01003	 24.339	11.295	 0.005	11.300	 0.005	-0.004	 0.001	HV01003      	083.90058	-68.53439
HV01005	 18.716	11.922	 0.007	11.897	 0.006	 0.023	 0.001	HV01005      	084.02827	-68.82038
HV01006	 14.217	12.162	 0.005	12.172	 0.005	-0.010	 0.001	HV01006      	084.34354	-69.48317
HV01013	 24.131	11.392	 0.006	11.458	 0.005	-0.064	 0.002	HV01013      	084.97353	-67.83577
HV01019	 13.659	12.252	 0.003	12.253	 0.003	 0.001	 0.001	HV01019      	085.71271	-70.13675
HV01023	 26.559	11.386	 0.006	11.441	 0.006	-0.052	 0.002	HV01023      	086.65077	-68.18428
HV02244	 13.977	12.219	 0.004	12.230	 0.005	-0.011	 0.002	HV02244      	074.46196	-67.83858
HV02251	 27.887	11.124	 0.007	11.166	 0.007	-0.043	 0.002	HV02251      	075.22987	-66.63732
HV02257	 39.395	10.722	 0.006	10.784	 0.006	-0.062	 0.002	HV02257      	074.54502	-69.94971
HV02260	 12.987	12.633	 0.005	12.620	 0.005	 0.012	 0.001	HV02260      	075.23275	-68.43911
HV02262	 15.832	12.035	 0.004	12.067	 0.004	-0.034	 0.002	HV02262      	074.69625	-70.06158
HV02270	 13.625	12.399	 0.004	12.424	 0.004	-0.025	 0.001	HV02270      	075.20150	-69.53186
