ra dec parallax parallax_error
268.63001986  30.41045642   0.64875060   0.30795088
319.09467068 -30.28421400   1.04953373   0.26178639
171.62345044 -17.91440807   0.90883081   0.27758706
238.37938957  12.96110460   0.77116356   0.28538868
 31.96670632 -26.86633536   1.69432624   0.45183785
153.35051028 -13.13824735   0.59326699   0.33629675
193.79367252  -5.45907173   0.15369294   0.37930136
308.13161353   0.58517616   0.74535553   0.25218495
293.08657377 -23.85377307   1.27800440   0.41680760
269.05131892 -57.16219563   0.41808213   0.25884867
328.39724096 -82.77895677   0.90310996   0.28361582
 19.56250431 -39.21261451   1.11262970   0.33247018
311.86820502  12.46410796   1.66148688   0.22392588
 15.16802908 -15.95776855   0.73384932   0.24775836
173.47695079  -0.03344855   1.13438445   0.71893493
230.58931207  26.87712501   0.52589295   0.24906462
 39.27453944 -42.96331099   2.15706054   0.22783131
190.01308262  27.49886988   0.46038348   0.27534765
128.22974569  13.19110098   0.80068492   0.39637477
232.66337173  35.78448362   0.68855695   0.32616227
123.13254563   2.83469453   0.38555959   0.40294642
163.26064691 -49.90638054   1.15670428   0.24731727
 74.07512089 -21.21747796   1.15942580   0.23511093
354.63708635  -9.31877686   0.82455854   0.28470790
240.13392915  46.92389161   0.44695046   0.24350009
299.50027105 -65.73623866   1.02001687   0.27668666
  0.70067599 -24.94537341   1.52249822   0.29713947
318.82420619   0.07611921   0.76106066   0.23006477
209.39183009  29.85792809   0.22375658   0.35889043
199.46383086  20.78062421   0.36981052   0.30423412
207.06646772  39.90065707   0.37740762   0.22881773
222.20789064 -71.32827420   0.75841813   0.25852188
  1.02149696 -16.99766982   0.53904171   0.25727429
293.12274470  56.38809188   1.56300785   0.22618780
 72.52757815 -50.65699964   0.77168229   0.36049983
187.62692735 -26.04746772   1.32019313   0.24443312
187.61539461  40.50879065   0.40744589   0.24689855
270.76782698 -52.72253272   0.73974084   0.46855509
248.88163370  57.83972896   0.58466206   0.23416658
223.02216232 -79.67954961   0.71206787   0.29840259
174.48536312  67.32941429   1.43036008   0.28377571
188.19002015  27.02921183   0.42512820   0.31544635
237.82077304 -15.75114918   1.09024167   0.34365889
233.81972554 -24.33688534   0.69588039   0.44097098
116.27626370  43.11155876   0.49559193   0.28554649
 72.43448037 -15.74121975   1.82766983   0.28372160
216.91278746  -0.90168462   0.87415230   0.61308032
 28.78455106  43.76568391   0.37919526   0.26546147
211.61648899  37.82811120   1.27563706   0.23672484
173.26558997  12.15373479   0.59217663   0.33123338
174.63612593  10.56144104   0.72167764   0.31920035
200.04819877   9.18773525   0.14346222   0.26829523
221.27477330  41.02870724   0.71569866   0.23592552
 33.81221592 -10.80028654   0.94742420   0.32435148
349.82188596 -24.21640372   0.52877902   0.24609028
330.72498435 -21.52568039   0.92132986   0.26297236
181.19666807 -27.67889045   1.24698159   0.29159835
319.88499179 -15.11706228   0.53471082   0.29337379
