IAUNAME,SOURCEID,VARID,FIELDID,CUEVENTID,RA2000,DEC2000,CEPHTYPE,CEPHSUBTYPE,CEPHMODE,PERIOD,YNEPOCHS,YMEANMAG,YMAGERR,YAMPL,YAMPLERR,JNEPOCHS,JMEANMAG,JMAGERR,JAMPL,JAMPLERR,KSNEPOCHS,KSMEANMAG,KSMAGERR,KSAMPL,KSAMPLERR,NOTES,ORIGVSAREL,ORIGVSASOURCEID,CATALOGUE,EXTERNALID
VMC J002153.88-722222.74,558351013536.0,8392.0,SMC_5_2,871.0,5.474542,-72.372972,DCEP,NONE,F,1.2874120473861694,5.0,16.812000274658203,0.017000000923871994,0.5199999809265137,0.029999999329447746,6.0,16.73900032043457,0.007000000216066837,0.4000000059604645,0.019999999552965164,17.0,16.444000244140625,0.012000000104308128,0.27000001072883606,0.02199999988079071,NONE,VMCv20140903,558380305619.0,OGLE-IV,OGLE-SMC-CEP-0005
VMC J002824.69-722836.98,558351189197.0,8393.0,SMC_5_2,871.0,7.102917,-72.476944,DCEP,NONE,F,2.575439929962158,12.0,15.75,0.02199999988079071,0.5199999809265137,0.05000000074505806,12.0,15.5649995803833,0.003000000026077032,0.5199999809265137,0.009999999776482582,31.0,15.260000228881836,0.004000000189989805,0.3100000023841858,0.007000000216066837,NONE,VMCv20140903,558380447226.0,OGLE-IV,OGLE-SMC-CEP-0090
VMC J050511.33-671245.47,558355795857.0,8367.0,LMC_7_3,871.0,76.29712500000001,-67.21258333333333,T2CEP,'W  Vir',NONE,8.715836524963379,,,,,,4.0,15.682000160217285,0.017999999225139618,0.1899999976158142,,16.0,15.217000007629395,0.008999999612569809,0.18000000715255737,,NONE,VMCv20130805,558351083913.0,OGLE-IV,OGLE-LMC-T2CEP-039
VMC J050356.30-672724.77,558355932676.0,8364.0,LMC_7_3,871.0,75.984625,-67.45683333333334,T2CEP,'RV Tau',NONE,44.561195373535156,,,,,,4.0,13.232000350952148,0.029999999329447746,0.36000001430511475,,16.0,12.211999893188477,0.09000000357627869,0.3400000035762787,,NONE,VMCv20130805,558351226498.0,OGLE-IV,OGLE-LMC-T2CEP-032
VMC J050013.00-674243.76,558356102348.0,8365.0,LMC_7_3,871.0,75.05416666666667,-67.71213888888887,T2CEP,'pW Vir',NONE,5.234800815582275,,,,,,4.0,15.005000114440918,0.0430000014603138,0.36000001430511475,,16.0,14.720000267028809,0.013000000268220901,0.3400000035762787,,NONE,VMCv20130805,558351399660.0,OGLE-IV,OGLE-LMC-T2CEP-023
VMC J045851.29-674423.91,558356129846.0,8385.0,LMC_7_3,871.0,74.71370833333334,-67.73997222222224,ACEP,NONE,FO,0.8000800013542175,,,,,,,,,,,16.0,16.575000762939453,0.014000000432133675,0.1599999964237213,,NONE,VMCv20130805,558351428166.0,OGLE-IV,OGLE-LMC-ACEP-009
VMC J050136.69-675133.10,558356180227.0,8388.0,LMC_7_3,871.0,75.40287500000001,-67.85919444444444,ACEP,NONE,F,1.5456700325012207,,,,,,,,,,,16.0,16.26099967956543,0.006000000052154064,0.30000001192092896,,NONE,VMCv20130805,558351480147.0,OGLE-IV,OGLE-LMC-ACEP-016
VMC J050008.26-675404.25,558356218255.0,8387.0,LMC_7_3,871.0,75.03441666666667,-67.90119444444444,ACEP,NONE,F,2.2913460731506348,,,,,,,,,,,16.0,15.862000465393066,0.00800000037997961,0.28999999165534973,,NONE,VMCv20130805,558351518318.0,OGLE-IV,OGLE-LMC-ACEP-014
VMC J050335.57-681015.14,558356363183.0,8363.0,LMC_7_3,871.0,75.89925,-68.17116666666666,T2CEP,'BL Her',NONE,3.9353690147399902,,,,,,4.0,,,,,16.0,,,,,NONE,VMCv20130805,558351663560.0,OGLE-IV,OGLE-LMC-T2CEP-030
VMC J050203.13-680930.44,558356366101.0,8389.0,LMC_7_3,871.0,75.51304166666667,-68.15844444444444,ACEP,NONE,F,0.9299950003623962,,,,,,,,,,,16.0,16.809999465942383,0.014999999664723873,0.25,,NONE,VMCv20130805,558351666932.0,OGLE-IV,OGLE-LMC-ACEP-017
VMC J050738.94-682005.99,558356439542.0,8362.0,LMC_7_3,871.0,76.91225,-68.33497222222222,T2CEP,'W  Vir',NONE,14.743796348571777,,,,,,4.0,14.920999526977539,0.057999998331069946,0.6200000047683716,,16.0,14.359999656677246,0.020999999716877937,0.5899999737739563,,NONE,VMCv20130805,558351740940.0,OGLE-IV,OGLE-LMC-T2CEP-046
VMC J045900.10-681401.14,558356439735.0,8386.0,LMC_7_3,871.0,74.75041666666667,-68.23363888888889,ACEP,NONE,F,0.8342009782791138,,,,,,,,,,,16.0,17.225000381469727,0.014999999664723873,0.3499999940395355,,NONE,VMCv20130805,558351741077.0,OGLE-IV,OGLE-LMC-ACEP-010
VMC J050211.55-682015.93,558356482726.0,8360.0,LMC_7_3,871.0,75.54816666666666,-68.33777777777777,T2CEP,'W  Vir',NONE,13.577869415283203,,,,,,4.0,15.208999633789062,0.08900000154972076,0.38999998569488525,,16.0,14.822999954223633,0.012000000104308128,0.3700000047683716,,NONE,VMCv20130805,558351786614.0,OGLE-IV,OGLE-LMC-T2CEP-026
VMC J050637.48-682340.27,558356485746.0,8390.0,LMC_7_3,871.0,76.65620833333334,-68.39452777777778,ACEP,NONE,F,1.2958430051803589,,,,,,,,,,,16.0,16.37700080871582,0.027000000700354576,0.20000000298023224,,NONE,VMCv20130805,558351789022.0,OGLE-IV,OGLE-LMC-ACEP-021
VMC J051133.52-683553.82,558354510097.0,8318.0,LMC_6_4,871.0,77.88966666666666,-68.59825,T2CEP,'RV Tau',NONE,21.48295021057129,,,,,,4.0,14.777000427246094,0.017000000923871994,0.75,,14.0,14.208000183105469,0.014000000432133675,0.7099999785423279,,NONE,VMCv20130805,558354737426.0,OGLE-IV,OGLE-LMC-T2CEP-058
VMC J051355.87-683752.07,558354518106.0,8317.0,LMC_6_4,871.0,78.48279166666667,-68.63113888888888,T2CEP,'BL Her',NONE,2.1278910636901855,,,,,,4.0,17.042999267578125,0.01899999938905239,0.4699999988079071,,14.0,16.697999954223633,0.02500000037252903,0.44999998807907104,,NONE,VMCv20130805,558354745198.0,OGLE-IV,OGLE-LMC-T2CEP-064
VMC J051121.13-684013.25,558354555311.0,8316.0,LMC_6_4,871.0,77.83804166666668,-68.67036111111109,T2CEP,'W  Vir',NONE,16.632041931152344,,,,,,4.0,15.052000045776367,0.020999999716877937,0.8199999928474426,,14.0,14.565999984741211,0.013000000268220901,0.7799999713897705,,NONE,VMCv20130805,558354781673.0,OGLE-IV,OGLE-LMC-T2CEP-057
VMC J051310.03-684611.81,558354610807.0,8378.0,LMC_6_4,871.0,78.29175000000002,-68.76997222222222,ACEP,NONE,FO,0.5992529988288879,,,,,,,,,,,14.0,16.39900016784668,0.009999999776482582,0.07999999821186066,,NONE,VMCv20130805,558354835825.0,OGLE-IV,OGLE-LMC-ACEP-028
VMC J051548.75-684848.12,558354626939.0,8338.0,LMC_6_4,871.0,78.95312500000001,-68.8133611111111,T2CEP,'W  Vir',NONE,8.988344192504883,,,,,,4.0,15.413999557495117,0.01899999938905239,0.2199999988079071,,14.0,15.024999618530273,0.02500000037252903,0.20999999344348907,,NONE,VMCv20130805,558354851839.0,OGLE-IV,OGLE-LMC-T2CEP-074
VMC J051042.60-684819.61,558354652235.0,8377.0,LMC_6_4,871.0,77.67758333333335,-68.80544444444443,ACEP,NONE,F,1.7387449741363525,,,,,,,,,,,14.0,15.932000160217285,0.010999999940395355,0.27000001072883606,,NONE,VMCv20130805,558354874727.0,OGLE-IV,OGLE-LMC-ACEP-026
VMC J050926.15-685005.00,558354679777.0,8320.0,LMC_6_4,871.0,77.35895833333333,-68.83472222222221,T2CEP,'RV Tau',NONE,34.74834442138672,,,,,,4.0,14.256999969482422,0.029999999329447746,0.1899999976158142,,14.0,13.810999870300293,0.014000000432133675,0.18000000715255737,,NONE,VMCv20130805,558354903269.0,OGLE-IV,OGLE-LMC-T2CEP-050
VMC J050941.93-685124.97,558354694378.0,8325.0,LMC_6_4,871.0,77.42470833333334,-68.85694444444444,T2CEP,'RV Tau',NONE,40.60639953613281,,,,,,4.0,,,,,14.0,,,,,NONE,VMCv20130805,558354917278.0,OGLE-IV,OGLE-LMC-T2CEP-051
VMC J050752.44-685028.79,558354694897.0,8376.0,LMC_6_4,871.0,76.96841666666667,-68.84133333333332,ACEP,NONE,FO,0.7234330177307129,,,,,,,,,,,14.0,16.444000244140625,0.004999999888241291,0.12999999523162842,,NONE,VMCv20130805,558354917807.0,OGLE-IV,OGLE-LMC-ACEP-023
VMC J051508.63-685453.44,558354703681.0,8307.0,LMC_6_4,871.0,78.78595833333334,-68.9148611111111,T2CEP,'BL Her',NONE,1.1521639823913574,,,,,,4.0,17.52199935913086,0.02199999988079071,0.4000000059604645,,14.0,17.326000213623047,0.026000000536441803,0.3799999952316284,,NONE,VMCv20130805,558354926512.0,OGLE-IV,OGLE-LMC-T2CEP-071
VMC J051427.06-685802.05,558354748073.0,8311.0,LMC_6_4,871.0,78.61270833333333,-68.9672222222222,T2CEP,'BL Her',NONE,1.609300971031189,,,,,,4.0,17.225000381469727,0.02800000086426735,0.27000001072883606,,14.0,16.941999435424805,0.017999999225139618,0.25999999046325684,,NONE,VMCv20130805,558354968904.0,OGLE-IV,OGLE-LMC-T2CEP-068
VMC J051400.76-685756.81,558354749826.0,8322.0,LMC_6_4,871.0,78.50312499999998,-68.96577777777777,T2CEP,'RV Tau',NONE,35.05493927001953,,,,,,4.0,,,,,14.0,,,,,NONE,VMCv20130805,558354970692.0,OGLE-IV,OGLE-LMC-T2CEP-065
VMC J051556.13-690129.15,558354784575.0,8379.0,LMC_6_4,871.0,78.983875,-69.02474999999998,ACEP,NONE,F,1.3160220384597778,,,,,,,,,,,14.0,16.360000610351562,0.009999999776482582,0.20000000298023224,,NONE,VMCv20130805,558355007611.0,OGLE-IV,OGLE-LMC-ACEP-032
