name,type,blazhko,period,log10fP,FeH,prior_mu,prior_mu_err,SF_ebv,SF_ebv_err,m_U_obs,m_U_obs_err,m_B_obs,m_B_obs_err,m_hipp_obs,m_hipp_obs_err,m_V_obs,m_V_obs_err,m_R_obs,m_R_obs_err,m_I_obs,m_I_obs_err,m_z_obs,m_z_obs_err,m_J_obs,m_J_obs_err,m_H_obs,m_H_obs_err,m_K_obs,m_K_obs_err,m_I1,m_I1_obs_err,m_I2,m_I2_obs_err,m_W3_obs,m_W3_obs_err,post_mu,post_mu_err
ABUMa,RRab,False,0.5996,-0.22213837582375812,-0.49,10.0551,0.1326,0.0226,0.0012,11.6575,0.0026,11.3352,0.0017,11.0349,0.0038,10.8694,0.0016,10.5775,0.0018,10.337,0.0075,10.7343,0.0066,10.0556,0.0065,9.7284,0.0059,9.7181,0.0072,9.597999999999999,0.003,9.587,0.003,9.5304,0.0259,10.1514,0.0146
AMTuc,RRc,False,0.4058,-0.2646879573026728,-1.49,11.0296,0.125,0.0205,0.0005,---,---,---,---,11.7425,0.0047,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10.602,0.002,10.565,0.002,---,---,11.06,0.0123
ANSer,RRab,False,0.5221,-0.2822463067892844,-0.07,9.9119,0.1392,0.0364,0.0006,---,---,---,---,11.0333,0.0066,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.801,0.004,9.795,0.004,9.8092,0.0394,10.2282,0.0124
AVPeg,RRab,False,0.3904,-0.4084901910053458,-0.08,9.4122,0.139,0.0615,0.0007,11.2715,0.0212,10.7393,0.0085,10.5961,0.0058,10.3325,0.0136,10.1416,0.0143,---,---,---,---,9.7057,0.0089,---,---,9.5753,0.0118,9.332,0.004,9.329,0.004,9.2549,0.0203,9.4673,0.0199
BXLeo,RRc,False,0.3628,-0.3133327216119423,-1.28,10.8883,0.1258,0.0235,0.0015,---,---,11.944,0.017,11.6594,0.0067,11.5547,0.0048,11.3781,0.0051,11.2008,0.0055,11.6218,0.0043,10.9511,0.0053,10.78,0.0059,10.7644,0.0071,10.677999999999999,0.002,10.67,0.002,---,---,11.0502,0.013
DXDel,RRab,False,0.4726,-0.3255062827036498,-0.39,8.8231,0.1341,0.1145,0.0018,---,---,---,---,10.0346,0.0028,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.652999999999999,0.004,8.641,0.004,8.62,0.0125,8.9812,0.0138
HKPup,RRab,False,0.7343,-0.13412647179218534,-1.11,10.16,0.1377,0.2979,0.0109,---,---,---,---,11.4502,0.0045,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.884,0.004,9.854,0.004,9.8207,0.0437,10.628,0.0222
RRCet,RRab,False,0.553,-0.2572748686953017,-1.45,9.0495,0.1251,0.0203,0.0003,---,---,---,---,9.8001,0.0047,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.504,0.004,8.493,0.004,8.4702,0.0132,8.9987,0.0128
RVCrB,RRc,False,0.3316,-0.3523854781217641,-1.69,10.7633,0.1251,0.0371,0.0014,---,---,---,---,11.485,0.0038,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10.494000000000002,0.002,10.470999999999998,0.002,---,---,10.7718,0.0149
RVUMa,RRab,True,0.4681,-0.3296613588725579,-1.2,10.0507,0.1261,0.016,0.001,10.7862,0.0431,11.0654,0.0237,10.8455,0.0058,10.6617,0.0099,10.526,0.0094,---,---,---,---,10.0945,0.0057,9.8792,0.0063,9.8387,0.008,9.76,0.004,9.746,0.004,---,---,10.0784,0.0133
